document	page	w	h	otsu	inkPx	outPx	inkOut	mapFrac	stenFrac	stenD3	glyphN	glyphH	glyphRun	ccN	txtN	txtPx	txtShare	lineN	linePx	lineShare	topLine	verdict	sweepInkOut	label	kind	sample
# C28 question 3, out of sample: the shape term over ALL 73 sub-bar pages, 2026-08-21.
# population = INKBAR-2026-08-19.tsv rows with verdict=all-text AND barVerdict=all-text (73).
# label/kind are the published verdicts of C26 sub-step 4 and C28 sub-steps 1-4; nothing here re-reads them.
# sample: calibration = one of the 8 pages the five constants were written against; new = never measured before.
# binary built from Tools/score-shape-term.swift at 5be15c3; --self-test 5/5; constants unchanged.
document/_1939_Former students to Board re Merriam_.pdf	p7	1935	2592	137	357235	39	0.0001	0.0001	0.3603	0.0018	1845	17	4	23	0	0	0.0000	0	0	0.0000	-	ok	0.0001	nothing	-	new
document/_1939_Former students to Board re Merriam_.pdf	p9	1935	2592	126	292516	381	0.0013	0.0013	0.4121	0.0037	3176	10	3	52	7	316	0.8294	1	303	0.7953	140x12+1456+1165	ok	0.0013	nothing	-	new
document/_1939_Former students to Board re Merriam_.pdf	p14	1935	2592	128	411692	18	0.0000	0.0000	0.0997	0.0001	2078	18	5	5	0	0	0.0000	0	0	0.0000	-	ok	0.0000	nothing	-	new
document/_1939_Former students to Board re Merriam_.pdf	p16	1935	2592	125	404834	3	0.0000	0.0000	0.0830	0.0000	2007	19	5	2	0	0	0.0000	0	0	0.0000	-	ok	0.0000	nothing	-	new
document/_1973_Committee Against Racism_.pdf	p1	1276	1651	149	219435	0	0.0000	0.0000	0.0000	0.0000	5049	10	2	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
document/_1973_Committee Against Racism_.pdf	p2	1276	1651	149	313174	0	0.0000	0.0000	0.0000	0.0000	7067	10	2	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
document/_1973_Committee Against Racism_.pdf	p3	1275	1650	151	295324	0	0.0000	0.0000	0.0000	0.0000	7316	10	2	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p2	1240	1647	160	185073	155	0.0008	0.0008	0.0008	0.0006	5166	10	2	7	5	147	0.9484	1	147	0.9484	43x9+639+829	ok	0.0008	loses	type	new
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p3	1240	1647	161	179495	0	0.0000	0.0000	0.0000	0.0000	5028	10	2	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p5	1240	1647	162	166685	5892	0.0353	0.0353	0.0353	0.0321	4757	10	2	142	117	3954	0.6711	4	3898	0.6616	488x18+107+1188	ok	0.0353	loses	type	calibration
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p7	1240	1647	162	162460	2225	0.0137	0.0137	0.0137	0.0134	4919	10	2	135	91	1995	0.8966	3	1897	0.8526	401x20+155+759	ok	0.0137	loses	type	new
journalArticle/Jones et al_2010_The Productivity Effects of Stock Option Schemes.pdf	p9	1240	1647	161	185502	0	0.0000	0.0000	0.0000	0.0000	5330	10	2	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
journalArticle/Scott_TK_The Scientific Selection of Salesmen.pdf	p3	1020	1257	149	180990	7462	0.0412	0.0412	0.0412	0.0297	3821	8	3	334	114	5319	0.7128	6	1796	0.2407	241x5+364+150	ok	0.0412	loses	type	calibration
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p3	921	1382	168	113600	0	0.0000	0.0000	0.0000	0.0000	2997	11	2	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p5	921	1382	167	103865	0	0.0000	0.0000	0.0000	0.0000	2760	11	2	0	0	0	-	0	0	-	-	ok	0.0000	nothing	-	new
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p8	921	1382	168	102197	150	0.0015	0.0015	0.0015	0.0015	2712	11	2	1	0	0	0.0000	0	0	0.0000	-	ok	0.0015	degraded	rule-blurred	new
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p10	921	1382	169	94353	151	0.0016	0.0016	0.0016	0.0016	2538	11	2	1	0	0	0.0000	0	0	0.0000	-	ok	0.0016	degraded	rule-blurred	new
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p13	921	1382	168	109426	150	0.0014	0.0014	0.0014	0.0014	2960	11	2	1	0	0	0.0000	0	0	0.0000	-	ok	0.0014	degraded	rule-blurred	new
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p23	921	1382	168	107517	149	0.0014	0.0014	0.0014	0.0014	2850	11	2	1	0	0	0.0000	0	0	0.0000	-	ok	0.0014	degraded	rule-blurred	new
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p25	921	1382	167	105513	150	0.0014	0.0014	0.0014	0.0014	2789	11	2	1	0	0	0.0000	0	0	0.0000	-	ok	0.0014	degraded	rule-blurred	new
journalArticle/Xin Qu et al_2018_Executive stock option vesting conditions, corporate governance and CEO.pdf	p28	921	1382	171	99065	163	0.0016	0.0016	0.0016	0.0007	3184	10	2	8	6	155	0.9509	0	0	0.0000	-	ok	0.0016	nothing	-	new
magazineArticle/Merriam_1913_Clutter of Things_The Independent.pdf	p2	1808	2807	136	846117	5336	0.0063	0.0063	0.0063	0.0034	4574	19	5	74	45	4649	0.8713	5	4256	0.7976	271x11+113+417	ok	0.0063	loses	type	new
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	p3	919	1357	147	186657	1624	0.0087	0.0087	0.0087	0.0064	3627	10	3	51	40	1586	0.9766	6	1574	0.9692	109x12+492+564	ok	0.0087	loses	type	new
magazineArticle/_1958_Executive Pay_Nation's Business (pre-1986); Washington.pdf	p5	915	1369	145	189074	1540	0.0081	0.0081	0.0081	0.0054	3311	10	3	50	38	1491	0.9682	4	1491	0.9682	260x12+335+709	ok	0.0081	loses	type	new
magazineArticle/_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York.pdf	p1	1159	1573	163	204713	5863	0.0286	0.0286	0.0399	0.0156	6472	8	2	63	36	1089	0.1857	2	319	0.0544	113x5+459+1407	ok	0.0286	nothing	-	new
newspaperArticle/Gitlin_2000_How Our Crowd Got Lonely_New York Times.pdf	p1	959	1281	150	195345	4094	0.0210	0.0210	0.0210	0.0207	2414	8	3	16	0	0	0.0000	0	0	0.0000	-	ok	0.0210	nothing	-	new
newspaperArticle/Williams_1958_DEMOCRACY OR MERITOCRACY_The Manchester Guardian (1901-1959); Manchester (UK).pdf	p1	1997	3219	150	1155973	2708	0.0023	0.0023	0.0024	0.0012	5007	21	6	38	18	2307	0.8519	1	1780	0.6573	250x19+710+1489	ok	0.0023	loses	type	new
thesis/Doermann_1967_The market for college education in the United States.pdf	p21	2658	3200	176	1200389	19778	0.0165	0.0165	0.1342	0.0159	1291	33	8	42	4	19672	0.9946	0	0	0.0000	-	ok	0.0165	loses	hand	new
