file	page	qualifying_gutters	widest_interior_quiet_frac	widthPx	heightPx	widestPx	widestSpan	otsu	peakInk	gutterSpans
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	11	0	0.0000	782	1297	0	-	156	304	-
Lloyd-Jones_Smith_1938_Selection and Admissions.pdf	17	0	0.0000	609	1029	0	-	169	239	-
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	2	0	0.0206	1650	1275	34	879-913	157	927	-
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	5	0	0.0224	1650	1275	37	877-914	154	903	-
Maclean_2008_Southern Dominance in Borrowed Language_School for Advanced Research Press.pdf	7	0	0.0285	1650	1275	47	794-841	154	1151	-
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	5	0	0.0000	1275	1650	0	-	146	341	-
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	11	0	0.0024	1275	1650	3	1072-1075	145	421	-
Merriam, H. G_1948_Does the Northwest Believe in Itself_Macmillan Co.pdf	17	0	0.0000	1275	1650	0	-	145	310	-
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	7	0	0.0000	762	1191	0	-	152	180	-
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	15	0	0.0000	703	1236	0	-	160	268	-
Miller_1952_The Business Elite in Business Bureaucracies_Harvard University Press.pdf	23	0	0.0000	731	1233	0	-	151	264	-
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	6	0	0.0000	732	1287	0	-	166	250	-
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	12	0	0.0000	726	1275	0	-	160	224	-
Moyn_2014_Imaginary Intellectual History_Oxford University Press, 2014 (2015-03-31 16-01-49).pdf	18	0	0.0000	726	1276	0	-	164	224	-
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	16	0	0.0000	1248	1648	0	-	141	469	-
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	32	0	0.0000	1248	1648	0	-	144	385	-
National Association for the Advancement of Colored People - 1993 - Papers of the NAACP. Pt. 15 Ser. A Segration and discrimination, complaints and responses, 1940 - 1.pdf	48	0	0.0120	1248	1648	15	596-611	144	473	-
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	9	0	0.0000	800	1233	0	-	148	350	-
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	18	0	0.0000	808	1239	0	-	153	335	-
O'Brien_1955_The Area of Admissions in Higher Education_.pdf	27	0	0.0000	801	1239	0	-	156	300	-
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	3	1	0.0675	1275	1650	86	633-719	163	351	633-719
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	7	1	0.0361	1275	1650	46	572-618	164	464	572-618
Phillips-Fein_Zelizer_2012_What's good for business _Oxford University Press.pdf	11	1	0.0392	1275	1650	50	566-616	164	950	566-616
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	10	0	0.0000	889	1340	0	-	148	1321	-
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	20	0	0.0000	886	1339	0	-	147	1161	-
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_.pdf	30	0	0.0066	906	1344	6	174-180	150	372	-
Schaar, handwritten notes.pdf	2	0	0.0000	1691	1328	0	-	163	965	-
Schaar, handwritten notes.pdf	5	0	0.0000	1663	1275	0	-	158	800	-
Schaar, handwritten notes.pdf	8	0	0.0000	1656	1281	0	-	161	839	-
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	14	0	0.0000	852	1266	0	-	155	246	-
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	28	0	0.0000	695	1068	0	-	163	250	-
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds.pdf	42	0	0.0000	771	1201	0	-	160	290	-
_1945_Postwar Economic Policy and Planning_.pdf	37	0	0.0000	1293	2112	0	-	138	561	-
_1945_Postwar Economic Policy and Planning_.pdf	75	0	0.0000	1309	2122	0	-	145	698	-
_1945_Postwar Economic Policy and Planning_.pdf	112	0	0.0000	1285	2108	0	-	144	702	-
full chapter.pdf	8	1	0.1184	1275	1650	151	251-402	144	1021	251-402
full chapter.pdf	16	0	0.0094	1275	1650	12	232-244	144	302	-
full chapter.pdf	24	1	0.0698	1275	1650	89	922-1011	144	550	922-1011
(F) Dickens.pdf	2	0	0.0000	1275	1642	0	-	138	341	-
(F) Dickens.pdf	4	0	0.0000	1274	1641	0	-	141	308	-
(F) Dickens.pdf	6	0	0.0000	1274	1641	0	-	143	376	-
1881 - Harry Wilcox.pdf	2	0	0.0000	1845	1241	0	-	121	1241	-
1881 - Harry Wilcox.pdf	4	0	0.0000	1890	1241	0	-	123	1231	-
1881 - Harry Wilcox.pdf	6	0	0.0000	1935	1241	0	-	127	1226	-
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	2	0	0.0000	6144	7204	0	-	129	7204	-
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	4	0	0.0000	6300	7169	0	-	129	7169	-
1976 - Regis McKenna Papers - Early Career, 1965-1981.pdf	6	0	0.0000	6223	6498	0	-	134	6498	-
2008_Hoagland oral history.pdf	3	0	0.0000	1275	1650	0	-	148	317	-
2008_Hoagland oral history.pdf	7	0	0.0000	1275	1650	0	-	148	422	-
2008_Hoagland oral history.pdf	11	0	0.0000	1275	1650	0	-	148	423	-
2008_McIntyre oral history.pdf	4	0	0.0008	1275	1650	1	1083-1084	148	309	-
2008_McIntyre oral history.pdf	9	0	0.0000	1275	1650	0	-	148	300	-
2008_McIntyre oral history.pdf	13	0	0.0000	1275	1650	0	-	148	354	-
2013 - Silicon Valley Program Transcript.pdf	9	0	0.0000	1275	1650	0	-	167	351	-
2013 - Silicon Valley Program Transcript.pdf	19	0	0.0000	1275	1650	0	-	167	362	-
2013 - Silicon Valley Program Transcript.pdf	28	0	0.0000	1275	1650	0	-	167	356	-
2015_Gibbs oral history.pdf	17	0	0.0157	1275	1650	20	317-337	159	217	-
2015_Gibbs oral history.pdf	35	0	0.0165	1275	1650	21	317-338	159	158	-
2015_Gibbs oral history.pdf	53	0	0.0008	1275	1650	1	1040-1041	158	155	-
2017_Bunnell oral history, athletics.pdf	17	0	0.0008	1275	1650	1	1074-1075	157	190	-
2017_Bunnell oral history, athletics.pdf	34	0	0.0149	1275	1650	19	328-347	158	163	-
2017_Bunnell oral history, athletics.pdf	51	0	0.0149	1275	1650	19	328-347	158	184	-
2024 - Class Action lawsuit re need blind admissions.pdf	18	0	0.0000	1275	1650	0	-	156	181	-
2024 - Class Action lawsuit re need blind admissions.pdf	37	0	0.0000	1275	1650	0	-	156	253	-
2024 - Class Action lawsuit re need blind admissions.pdf	56	0	0.0000	1275	1650	0	-	156	194	-
Atkinson_1939_Atkinson on firings_.pdf	1	0	0.0017	4031	5400	7	3463-3470	110	1040	-
Atkinson_1939_Atkinson on firings_.pdf	2	0	0.0000	4031	5400	0	-	120	1230	-
Atkinson_1939_Atkinson on firings_.pdf	3	0	0.0000	4031	5400	0	-	132	1299	-
Ford_1941_Speech_.pdf	1	0	0.0074	4031	5400	30	3473-3503	134	5400	-
Ford_1941_Speech_.pdf	3	0	0.0000	4031	5400	0	-	118	769	-
Ford_1941_Speech_.pdf	4	0	0.0027	4031	5400	11	3496-3507	119	2091	-
Freud_Fetishism.pdf	1	1	0.0635	1497	1192	95	773-868	137	656	773-868
Freud_Fetishism.pdf	3	0	0.0261	1493	1201	39	779-818	159	231	-
Freud_Fetishism.pdf	5	0	0.0328	1493	1201	49	766-815	153	292	-
Galison_1998_Trading Zone_.pdf	3	0	0.0000	2150	1517	0	-	154	1517	-
Galison_1998_Trading Zone_.pdf	7	0	0.0000	2150	1518	0	-	153	1516	-
Galison_1998_Trading Zone_.pdf	10	0	0.0000	2150	1518	0	-	161	1518	-
Geiger oral history.pdf	24	0	0.0157	1275	1650	20	318-338	158	208	-
Geiger oral history.pdf	49	0	0.0000	1275	1650	0	-	159	155	-
Geiger oral history.pdf	74	0	0.0157	1275	1650	20	318-338	157	307	-
Henry Morgenthau papers.pdf	50	2	0.0949	1275	1650	121	671-792	146	234	233-293,671-792
