document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor	satPx	satN	topPx	topShare	topRun	edgeN	edgeShare	sheetFrac
Kelly_2014_Orders of Magnitude_TLS	p2	148	0.133	0.032	0.001	0.0000	0.00000	0.00000	2750370	2	1-bit	12	106648	9	90	90	61	90	0.00000	0.25000	0	0	0	0.00000	0	0	0.00000	0.00000
Kelly_2014_Orders of Magnitude_TLS	p3	164	0.191	0.150	0.101	0.0156	0.00000	0.00000	1068056	2	picture	168722	58743	438	442	442	443	443	0.12654	0.25000	32242	275	13324	0.41325	7	0	0.00000	0.12654
Kristol_1960_High, Low, and Modern_Encounter	p4	139	0.113	0.024	0.003	0.0007	0.00000	0.00000	1152375	2	1-bit	0	3790	0	38	38	13	38	0.00177	0.25000	189	67	9	0.04762	2	0	0.00000	0.00177
Kristol_1960_High, Low, and Modern_Encounter	p7	145	0.113	0.033	0.003	0.0003	0.00000	0.00000	1140935	2	1-bit	0	9423	0	38	38	16	38	0.00173	0.25000	183	72	14	0.07650	2	0	0.00000	0.00173
Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ	p23	131	0.041	0.002	0.015	0.0119	0.00000	0.00000	1412444	2	1-bit	17	6393	2	22	22	13	23	0.01146	0.25000	1494	1046	5	0.00335	1	0	0.00000	0.01146
Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ	p45	133	0.040	0.003	0.015	0.0096	0.00000	0.00000	1412444	2	1-bit	21	6945	0	22	22	15	22	0.01204	0.25000	1569	1077	5	0.00319	1	0	0.00000	0.01204
Merriam_1920_Daughter of Pan_The Montanan (The Frontier)	p1	137	0.166	0.226	0.086	0.0001	0.00000	0.00000	3844260	1	picture	1641	110900	9	1499	1499	34	1533	0.07147	0.25000	110633	187	106464	0.96232	67	17	0.99740	0.00019
Riesman - 1954 - Individualism reconsidered, and other essays	p9	135	0.142	0.488	0.080	0.0974	0.00000	0.00000	468438	3	picture	24651	32146	352	212	352	374	374	0.01678	0.25000	964	22	679	0.70436	14	5	0.19917	0.01344
Riesman - 1954 - Individualism reconsidered, and other essays	p17	103	0.108	0.277	0.091	0.0750	0.00000	0.00000	967302	2	picture	3079	63237	23	19	23	68	68	0.03888	0.25000	2286	42	1136	0.49694	3	18	0.96325	0.00143
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech	p101	157	0.133	0.064	0.037	0.0007	0.00000	0.00000	1727880	2	picture	70779	34187	130	459	459	187	460	0.06367	0.25000	9525	124	3464	0.36367	6	0	0.00000	0.06367
Schwaller - 2026 - Silicon Valley Landscapes Architecture and the Soft Power of Big Tech	p201	138	0.057	0.011	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit	0	20821	0	22	22	17	22	0.00000	0.25000	0	0	0	0.00000	0	0	0.00000	0.00000
Senate, Democratic Leadership	p10	142	0.053	0.012	0.002	0.0002	0.00000	0.00000	2139904	1	1-bit	462	35044	33	25	33	36	36	0.00297	0.25000	444	25	92	0.20721	4	0	0.00000	0.00297
Senate, Democratic Leadership	p19	142	0.043	0.010	0.002	0.0002	0.00000	0.00000	2139904	1	1-bit	462	26842	33	25	33	36	36	0.00297	0.25000	444	25	92	0.20721	4	0	0.00000	0.00297
Stanford_1891_Jane Stanford opening day speech (undelivered)	p2	182	0.049	0.152	0.041	0.0246	0.00000	0.00000	1055307	1	picture	2976	23734	15	15	15	19	27	0.00052	0.25000	51	14	15	0.29412	3	8	0.54902	0.00024
Stanford_1891_Jane Stanford opening day speech (undelivered)	p3	179	0.056	0.146	0.042	0.0320	0.00000	0.00000	1094548	1	picture	6888	30474	63	74	74	78	78	0.00784	0.25000	795	13	397	0.49937	11	1	0.01761	0.00770
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County	p13	141	0.063	0.018	0.014	0.0056	0.00000	0.00000	1039360	2	1-bit	49703	43690	46	26	46	50	50	0.00106	0.25000	158	25	41	0.25949	3	0	0.00000	0.00106
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County	p25	138	0.079	0.017	0.002	0.0000	0.00000	0.00000	1611504	2	1-bit	0	42541	0	23	23	19	23	0.00270	0.25000	404	53	48	0.11881	2	0	0.00000	0.00270
_1939_Former students to Board re Merriam_	p7	137	0.079	0.353	0.073	0.1771	0.00201	0.00833	3844260	1	picture	1008645	165303	875	64	875	1376	1376	0.02397	0.25000	37113	3211	9202	0.24795	9	6	0.38989	0.01463
_1939_Former students to Board re Merriam_	p13	114	0.057	0.122	0.062	0.1705	0.21864	0.12637	3844260	1	picture	578089	124308	566	37	566	619	690	0.03423	0.25000	52984	3301	38125	0.71956	25	3	0.71963	0.00960
_1967_Yearly Increase of 15% Expected by Ampex_Boxoffice (Archive 1920-2000); New York	p1	163	0.116	0.085	0.064	0.0384	0.00112	0.00050	1397655	1	picture	29413	101323	539	1339	1339	1257	1340	0.00236	0.25000	351	27	159	0.45299	1	0	0.00000	0.00236
_1973_Committee Against Racism_	p2	149	0.167	0.066	0.001	0.0000	0.00000	0.00000	1615510	1	picture	70	155501	9	17	17	18	18	0.00197	0.25000	295	6	84	0.28475	3	0	0.00000	0.00197
_1973_Committee Against Racism_	p3	151	0.158	0.064	0.002	0.0000	0.00000	0.00000	1612948	1	picture	56	129682	12	17	17	18	18	0.00330	0.25000	494	10	88	0.17814	4	0	0.00000	0.00330
