document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route	paleC	besideInk	paleTall	inkTall	unionTall	bandOnly	bandTall	satFrac	satFloor
Riesman_1992_My Education in Soc 2 and My Efforts to Adapt It in the Harvard Setting_	p27	145	0.132	0.032	0.000	0.0019	0.00000	0.00000	910644	1	1-bit	77	59797	2	21	21	19	23	0.00000	0.25000
Schaar, handwritten notes	p4	154	0.124	0.060	0.000	0.0467	0.00875	0.00579	1623208	1	1-bit	49880	114895	435	173	435	530	663	0.00000	0.25000
Schaar, handwritten notes	p8	154	0.119	0.043	0.000	0.0219	0.00109	0.00111	1628022	1	1-bit	11687	101627	296	94	296	696	1122	0.00000	0.25000
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds	p19	90	0.092	0.000	0.000	0.0000	0.00000	0.00000	821730	2	1-bit	0	0	0	19	19	0	19	0.00000	0.25000
Strickland and Ambrose - 1985 - The Baby Boom, Prosperity, and the Changing Worlds	p38	128	0.097	0.003	0.000	0.0000	0.00000	0.00000	844740	2	1-bit	0	11273	0	22	22	15	23	0.00000	0.25000
_1945_Postwar Economic Policy and Planning_	p51	128	0.125	0.007	0.000	0.0000	0.00000	0.00000	2144464	2	1-bit	0	44385	0	52	52	33	53	0.00000	0.25000
_1945_Postwar Economic Policy and Planning_	p101	128	0.141	0.008	0.000	0.0000	0.00000	0.00000	2066400	2	1-bit	0	42774	0	54	54	52	61	0.00000	0.25000
full chapter	p11	153	0.051	0.019	0.000	0.0007	0.00000	0.00000	647520	1	1-bit	140	15361	4	635	635	61	636	0.00000	0.25000
full chapter	p22	152	0.047	0.019	0.000	0.0022	0.00000	0.00000	836160	1	1-bit	904	20756	13	139	139	134	412	0.00000	0.25000
(F) Dickens	p3	90	0.091	0.000	0.000	0.0000	0.00000	0.00000	2849520	1	1-bit	0	0	0	35	35	0	35	0.00000	0.25000
(F) Dickens	p6	90	0.100	0.000	0.000	0.0000	0.00000	0.00000	2849092	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
1881 - Harry Wilcox	p4	125	0.145	0.140	0.062	0.1982	0.00796	0.00915	2010750	2	picture	333751	89872	1033	893	1033	1149	1149	0.08178	0.25000
1881 - Harry Wilcox	p7	126	0.133	0.103	0.068	0.0841	0.48119	0.03969	1775610	2	picture	143119	56606	1004	1086	1086	1086	1086	0.09028	0.25000
1976 - Regis McKenna Papers - Early Career, 1965-1981	p4	129	0.144	0.063	0.063	0.1958	0.04492	0.02053	1991115	2	picture	197072	38377	835	247	835	1498	1498	0.07025	0.25000
1976 - Regis McKenna Papers - Early Career, 1965-1981	p7	131	0.181	0.234	0.105	0.1488	0.02922	0.01401	1957062	2	picture	589368	77786	1486	1042	1486	1486	1486	0.15669	0.25000
2008_Hoagland oral history	p6	90	0.053	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
2008_Hoagland oral history	p11	90	0.067	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
2008_McIntyre oral history	p7	90	0.050	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
2008_McIntyre oral history	p13	90	0.063	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	30	30	0	30	0.00000	0.25000
2013 - Silicon Valley Program Transcript	p13	166	0.090	0.018	0.050	0.0033	0.00000	0.00000	3256058	1	1-bit	92743	53704	82	115	115	116	116	0.04517	0.25000
2013 - Silicon Valley Program Transcript	p26	166	0.097	0.020	0.050	0.0033	0.00000	0.00000	3256058	1	1-bit	92743	60868	82	115	115	116	116	0.04512	0.25000
2015_Gibbs oral history	p24	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	29	29	0	29	0.00000	0.25000
2015_Gibbs oral history	p48	90	0.022	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	29	29	0	29	0.00000	0.25000
2017_Bunnell oral history, athletics	p24	90	0.020	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit	0	0	0	29	29	0	29	0.00000	0.25000
