document	page	otsu	ink	tone	sat	lost	extent	cover	cells	factor	route
Eyal-Cohen - Why Is Small Business the Chief Business of Congress	p20	135	0.076	0.007	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit
Eyal-Cohen - Why Is Small Business the Chief Business of Congress	p40	135	0.050	0.005	0.000	0.0000	0.00000	0.00000	1216908	2	1-bit
Falasca-Zamponi_2004_The »Culture« of Personality	p10	161	0.087	0.042	0.000	0.0019	0.00000	0.00000	943272	1	1-bit
Falasca-Zamponi_2004_The »Culture« of Personality	p20	90	0.070	0.000	0.000	0.0000	0.00000	0.00000	959784	2	1-bit
Findlay_1992_Stanford Industrial Park_University of California Press	p21	166	0.259	0.080	0.000	0.0517	0.00000	0.00000	1007678	1	picture
Findlay_1992_Stanford Industrial Park_University of California Press	p42	178	0.099	0.052	0.000	0.1284	0.00000	0.00000	936298	1	1-bit
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors	p20	129	0.072	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit
Fisch et al. - 2019 - The New Titans of Wall Street A Theoretical Framework for Passive Investors	p39	129	0.075	0.000	0.000	0.0000	0.00000	0.00000	1131931	4	1-bit
Ford_1941_Speech_	p3	116	0.053	0.149	0.045	0.0074	0.00036	0.00074	3844260	1	picture
Ford_1941_Speech_	p5	126	0.092	0.336	0.057	0.0788	0.00069	0.00361	3844260	1	picture
Freud_Fetishism	p3	90	0.035	0.000	0.000	0.0000	0.00000	0.00000	2440542	1	1-bit
Freud_Fetishism	p5	90	0.103	0.000	0.000	0.0000	0.00000	0.00000	2440542	1	1-bit
Friedman_1962_Capitalism and freedom_University of Chicago Press	p151	90	0.103	0.001	0.000	0.0000	0.00000	0.00000	1288000	1	1-bit
Friedman_1962_Capitalism and freedom_University of Chicago Press	p76	90	0.096	0.001	0.000	0.0000	0.00000	0.00000	1288000	1	1-bit
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University	p142	90	0.045	0.000	0.000	0.0000	0.00000	0.00000	1644150	2	1-bit
GELFAND_1956_The Avoidance of Federal Personal Income Taxes in the United States_New York University	p71	90	0.142	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
GIERHAN_The Role of Head Student Personnel Administrators in the Big Eight Universities	p148	90	0.042	0.000	0.000	0.0000	0.00000	0.00000	1599059	2	1-bit
GIERHAN_The Role of Head Student Personnel Administrators in the Big Eight Universities	p74	90	0.029	0.000	0.000	0.0000	0.00000	0.00000	1584495	2	1-bit
GRUMET_The Menorah Idea and the Apprenticeship of Lionel Trilling	p110	90	0.051	0.000	0.000	0.0000	0.00000	0.00000	1646736	2	1-bit
GRUMET_The Menorah Idea and the Apprenticeship of Lionel Trilling	p219	90	0.047	0.000	0.000	0.0000	0.00000	0.00000	1641566	2	1-bit
Galison_1998_Trading Zone_	p10	90	0.135	0.000	0.000	0.0000	0.00000	0.00000	2497968	2	1-bit
Galison_1998_Trading Zone_	p5	90	0.127	0.000	0.000	0.0000	0.00000	0.00000	2517810	2	1-bit
Geiger et al_2018_American higher education in the postwar era, 1945-1970	p18	154	0.095	0.057	0.000	0.0150	0.00000	0.00000	633249	3	1-bit
Geiger et al_2018_American higher education in the postwar era, 1945-1970	p9	164	0.090	0.054	0.000	0.0577	0.00000	0.00000	613056	3	1-bit
Geiger oral history	p34	90	0.021	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
Geiger oral history	p67	90	0.021	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
Gilroy - 2000 - Getting In	p15	90	0.103	0.000	0.000	0.0000	0.00000	0.00000	812058	2	1-bit
Gilroy - 2000 - Getting In	p8	90	0.085	0.000	0.000	0.0000	0.00000	0.00000	879648	2	1-bit
Gitlin_2000_How Our Crowd Got Lonely_New York Times	p1	150	0.189	0.072	0.000	0.0012	0.00000	0.00000	942761	1	picture
Glazer_2002_Higher Ed_New Republic	p1	160	0.165	0.095	0.012	0.0708	0.00000	0.00000	2651760	1	picture
Glazer_2002_Higher Ed_New Republic	p2	150	0.009	0.003	0.000	0.0003	0.00000	0.00000	659736	1	1-bit
Glazer_2003_Kith and Kin_Commentary; New York	p2	130	0.067	0.001	0.000	0.0324	0.00000	0.00000	1512040	2	1-bit
Glazer_2003_Kith and Kin_Commentary; New York	p3	130	0.062	0.001	0.001	0.0316	0.00000	0.00000	1527572	2	1-bit
Glazer_2003_Neoconservatives, Then and Now_New York Times	p1	146	0.094	0.031	0.000	0.0334	0.00000	0.00000	291250	2	1-bit
Gowan and Demos - 1964 - The education and guidance of the ablest	p3	145	0.063	0.019	0.000	0.0285	0.00000	0.00000	1129122	1	1-bit
Gowan and Demos - 1964 - The education and guidance of the ablest	p5	144	0.025	0.007	0.000	0.0075	0.00000	0.00000	1129122	1	1-bit
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America	p3	90	0.069	0.000	0.000	0.0000	0.00000	0.00000	2386006	2	1-bit
Gregory-Huddleston_1994_Culture conflict with growth_University Press of America	p5	90	0.068	0.000	0.000	0.0000	0.00000	0.00000	2260620	2	1-bit
Guilford_Psychometric Methods	p3	157	0.114	0.039	0.000	0.0230	0.00000	0.00000	1007776	1	1-bit
Guilford_Psychometric Methods	p5	151	0.151	0.046	0.000	0.0293	0.00000	0.00000	1011752	1	picture
Har - THE NECKLACE OF KALI.	p1	130	0.184	0.101	0.000	0.1691	0.00110	0.00117	2958228	3	picture
HarpersMagazine-1938-05-0019577	p4	172	0.139	0.094	0.036	0.1355	0.00265	0.00134	1683248	1	1-bit
HarpersMagazine-1938-05-0019577	p7	174	0.143	0.096	0.017	0.0870	0.00000	0.00000	1661108	1	1-bit
Hayek_1978_The constitution of liberty_University of Chicago Press	p192	90	0.140	0.000	0.000	0.0000	0.00000	0.00000	1323582	3	1-bit
Hayek_1978_The constitution of liberty_University of Chicago Press	p383	90	0.130	0.000	0.000	0.0000	0.00000	0.00000	1302045	3	1-bit
Henry Morgenthau papers	p135	90	0.013	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
Henry Morgenthau papers	p68	90	0.019	0.000	0.000	0.0000	0.00000	0.00000	2865888	1	1-bit
Herbert Marks papers	p11	213	0.024	0.990	0.000	0.0062	0.00000	0.00000	2865888	1	picture
Herbert Marks papers	p6	207	0.044	0.074	0.000	0.0130	0.00000	0.00000	2865888	1	1-bit
Himanen_2001_The hacker ethic and the spirit of the information age_Random House	p171	166	0.066	0.048	0.000	0.1032	0.00000	0.00000	2636928	1	1-bit
Himanen_2001_The hacker ethic and the spirit of the information age_Random House	p86	169	0.065	0.051	0.000	0.1030	0.00000	0.00000	2636928	1	1-bit
Ho_Useful fiction	p107	90	0.039	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit
Ho_Useful fiction	p213	90	0.040	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit
Hobsbawm and Ranger - 1992 - The Invention of tradition	p109	128	0.129	0.007	0.000	0.0000	0.00000	0.00000	634172	2	1-bit
Hobsbawm and Ranger - 1992 - The Invention of tradition	p217	90	0.117	0.000	0.000	0.0000	0.00000	0.00000	634172	2	1-bit
Hoxby_1997_How the Changing Market Structure of U_National Bureau of Economic Research	p27	143	0.054	0.015	0.000	0.0013	0.00000	0.00000	1657656	2	1-bit
Hoxby_1997_How the Changing Market Structure of U_National Bureau of Economic Research	p54	139	0.052	0.011	0.000	0.0021	0.00000	0.00000	1638112	2	1-bit
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press	p11	90	0.104	0.000	0.000	0.0000	0.00000	0.00000	1843968	2	1-bit
Hyman_2012_Rethinking the Postwar Corporation_Oxford University Press	p6	128	0.073	0.004	0.000	0.0000	0.00000	0.00000	905113	2	1-bit
Ibson_2006_Picturing men	p176	165	0.339	0.136	0.000	0.0144	0.00015	0.00009	1111320	1	picture
Ibson_2006_Picturing men	p88	172	0.201	0.101	0.000	0.0330	0.00000	0.00000	1111320	1	picture
Intellectual History Newsletter -- Forum on Menand	p16	144	0.107	0.035	0.000	0.0000	0.00000	0.00000	1088061	1	1-bit
Intellectual History Newsletter -- Forum on Menand	p31	142	0.113	0.029	0.000	0.0000	0.00000	0.00000	1253200	1	1-bit
JAH Review	p2	128	0.098	0.000	0.001	0.0000	0.00000	0.00000	863784	4	1-bit
JAH Review	p3	128	0.089	0.000	0.001	0.0000	0.00000	0.00000	863784	4	1-bit
JOURNAL_1969_Giving the Boss a Raise_Wall Street Journal (1923 - Current file); New York, N.Y.	p1	142	0.148	0.034	0.000	0.0000	0.00000	0.00000	2001384	1	1-bit
Jensen_The rise of an African-American Left	p191	90	0.087	0.000	0.000	0.0000	0.00000	0.00000	1867957	2	1-bit
Jensen_The rise of an African-American Left	p381	90	0.053	0.000	0.000	0.0000	0.00000	0.00000	1862820	2	1-bit
Jones et al_2010_The Productivity Effects of Stock Option Schemes	p11	170	0.033	0.021	0.000	0.0001	0.00000	0.00000	1567098	1	1-bit
Jones et al_2010_The Productivity Effects of Stock Option Schemes	p6	165	0.051	0.027	0.000	0.0001	0.00000	0.00000	1567098	1	1-bit
Kazin_1955_The Writer and the 	p11	136	0.121	0.022	0.000	0.0002	0.00000	0.00000	1518684	1	1-bit
Kazin_1955_The Writer and the 	p6	145	0.090	0.031	0.000	0.0006	0.00000	0.00000	405440	1	1-bit
Kelly_2014_Orders of Magnitude_TLS	p2	148	0.133	0.032	0.001	0.0000	0.00000	0.00000	2750370	2	1-bit
Kelly_2014_Orders of Magnitude_TLS	p3	164	0.191	0.150	0.101	0.0156	0.00000	0.00000	1068056	2	picture
Keyssar_2000_The Right to Vote_Basic Books	p2	127	0.090	0.000	0.001	0.0000	0.00000	0.00000	1297628	4	1-bit
Keyssar_2000_The Right to Vote_Basic Books	p3	127	0.092	0.000	0.001	0.0000	0.00000	0.00000	1297628	4	1-bit
Kiernan_1959_Job evaluation for precision optical craftsmen_University of Southern California	p126	90	0.054	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Kiernan_1959_Job evaluation for precision optical craftsmen_University of Southern California	p63	90	0.057	0.000	0.000	0.0000	0.00000	0.00000	1611504	2	1-bit
Koh - 2008 - Essays on stock options expensing and stock option	p127	90	0.030	0.000	0.000	0.0000	0.00000	0.00000	1623858	2	1-bit
Koh - 2008 - Essays on stock options expensing and stock option	p64	90	0.041	0.000	0.000	0.0000	0.00000	0.00000	1618724	2	1-bit
Kremer_Maskin_1996_Wage Inequality and Segregation by Skill_National Bureau of Economic Research	p22	135	0.055	0.007	0.000	0.0000	0.00000	0.00000	1636362	2	1-bit
Kremer_Maskin_1996_Wage Inequality and Segregation by Skill_National Bureau of Economic Research	p43	128	0.052	0.004	0.000	0.0000	0.00000	0.00000	1635228	2	1-bit
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited	p14	176	0.147	0.162	0.000	0.1480	0.00000	0.00000	1255632	1	picture
Krippner__The political economy of financial exuberance_Emerald Group Publishing Limited	p27	176	0.147	0.131	0.000	0.1735	0.00000	0.00000	1255632	1	picture
Kristol_1960_High, Low, and Modern_Encounter	p4	139	0.113	0.024	0.003	0.0007	0.00000	0.00000	1152375	2	1-bit
Kristol_1960_High, Low, and Modern_Encounter	p7	145	0.113	0.033	0.003	0.0003	0.00000	0.00000	1140935	2	1-bit
Kristol_1962_SOCIAL SCIENCES AND LAW_	p10	90	0.207	0.000	0.000	0.0000	0.00000	0.00000	1700996	2	1-bit
Kristol_1962_SOCIAL SCIENCES AND LAW_	p20	90	0.128	0.000	0.000	0.0000	0.00000	0.00000	1613736	2	1-bit
