doc	pages	digitalN	page	rawAnnots	surfacedN	nilN	subtypes	clause	pageMark	docMark	outlineN	allPass	splice
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	4	24	24	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	6	23	23	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	7	23	23	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	8	9	9	0	Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	9	11	11	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	11	4	4	0	Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	12	2	2	0	Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	14	6	6	0	Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	17	18	18	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	18	14	14	0	Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	20	1	1	0	Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	21	8	8	0	Link,Link,Link,Link,Link,Link,Link,Link	none	no	no	18	no	no
Surani et al. - AI for Scaling Legal Reform Mapping and Redacting Racial Covenants in Santa Clara County.pdf	37	25	22	0	0	0	-	none	no	no	18	no	no
