document	page	source_route	source_page_bytes	before_route	before_page_bytes	after_route	after_page_bytes
Dobbin	217	passthrough	49807	passthrough	67505	passthrough	49807
Dobbin	218	passthrough	49617	passthrough	57905	passthrough	49617
Dobbin	219	passthrough	56977	passthrough	77208	passthrough	56977
Dobbin	220	passthrough	56641	passthrough	63848	passthrough	56641
Dobbin	221	passthrough	56552	passthrough	73342	passthrough	56552
Dobbin	222	passthrough	63350	passthrough	70142	passthrough	63350
Dobbin	223	passthrough	58248	passthrough	75496	passthrough	58248
Dobbin	224	passthrough	49936	passthrough	58207	passthrough	49936
Dobbin	225	passthrough	49903	passthrough	67572	passthrough	49903
Dobbin	226	passthrough	50001	passthrough	58770	passthrough	50001
Dobbin	227	passthrough	49681	passthrough	67498	passthrough	49681
Dobbin	228	passthrough	49673	passthrough	57701	passthrough	49673
Dobbin	229	passthrough	37029	passthrough	56420	passthrough	37029
Dobbin	230	passthrough	35725	passthrough	45302	passthrough	35725
Dobbin	231	passthrough	32547	passthrough	43756	passthrough	32547
Dobbin	232	passthrough	37083	passthrough	47421	passthrough	37083
Dobbin	233	passthrough	49559	passthrough	67065	passthrough	49559
Dobbin	234	passthrough	49644	passthrough	57890	passthrough	49644
Dobbin	235	passthrough	37154	passthrough	57017	passthrough	37154
Dobbin	236	passthrough	49638	passthrough	67572	passthrough	49638
Dobbin	237	passthrough	37158	passthrough	57138	passthrough	37158
Dobbin	238	passthrough	37132	passthrough	47600	passthrough	37132
Dobbin	239	passthrough	37104	passthrough	56927	passthrough	37104
Dobbin	240	passthrough	49573	passthrough	57799	passthrough	49573
Dobbin	241	passthrough	37390	passthrough	56967	passthrough	37390
Dobbin	242	passthrough	49734	passthrough	57731	passthrough	49734
Dobbin	243	passthrough	49697	passthrough	67214	passthrough	49697
Dobbin	244	passthrough	35284	passthrough	44665	passthrough	35284
Dobbin	245	passthrough	1836	passthrough	15004	passthrough	1836
Dobbin	246	passthrough	36482	passthrough	46719	passthrough	36482
Dobbin	247	passthrough	49168	passthrough	66959	passthrough	49168
Dobbin	248	passthrough	48752	passthrough	66141	passthrough	48752
Dobbin	249	passthrough	35836	passthrough	55429	passthrough	35836
Dobbin	250	passthrough	50289	passthrough	66963	passthrough	50289
Dobbin	251	passthrough	48142	passthrough	50974	passthrough	48142
Dobbin	252	passthrough	49165	passthrough	66120	passthrough	49165
Dobbin	253	passthrough	35803	passthrough	40784	passthrough	35803
Dobbin	254	passthrough	48458	passthrough	51327	passthrough	48458
Dobbin	255	passthrough	48224	passthrough	65446	passthrough	48224
Dobbin	256	passthrough	48543	passthrough	51615	passthrough	48543
Dobbin	257	passthrough	48475	passthrough	62079	passthrough	48475
Dobbin	258	passthrough	48753	passthrough	66399	passthrough	48753
Dobbin	259	passthrough	48709	passthrough	66335	passthrough	48709
Dobbin	260	passthrough	48630	passthrough	76788	passthrough	48630
Dobbin	261	passthrough	49920	passthrough	66669	passthrough	49920
Dobbin	262	passthrough	36832	passthrough	55642	passthrough	36832
Dobbin	263	passthrough	48689	passthrough	66339	passthrough	48689
Dobbin	264	passthrough	48525	passthrough	65829	passthrough	48525
Dobbin	265	passthrough	48525	passthrough	65914	passthrough	48525
Dobbin	266	passthrough	49111	passthrough	66030	passthrough	49111
Dobbin	267	passthrough	48687	passthrough	52100	passthrough	48687
Dobbin	268	passthrough	48644	passthrough	51666	passthrough	48644
Dobbin	269	passthrough	50293	passthrough	66817	passthrough	50293
Dobbin	270	passthrough	48765	passthrough	66443	passthrough	48765
Dobbin	271	passthrough	47606	passthrough	49575	passthrough	47606
Dobbin	272	passthrough	37384	passthrough	47709	passthrough	37384
Dobbin	273	passthrough	49952	passthrough	69262	passthrough	49952
Dobbin	274	passthrough	50016	passthrough	69350	passthrough	50016
Dobbin	275	passthrough	49739	passthrough	69146	passthrough	49739
Dobbin	276	passthrough	49910	passthrough	58569	passthrough	49910
Dobbin	277	passthrough	50560	passthrough	69692	passthrough	50560
Dobbin	278	passthrough	50679	passthrough	58591	passthrough	50679
Dobbin	279	passthrough	50000	passthrough	69134	passthrough	50000
Dobbin	280	passthrough	50047	passthrough	69130	passthrough	50047
Dobbin	281	passthrough	49820	passthrough	58433	passthrough	49820
Dobbin	282	passthrough	49928	passthrough	54670	passthrough	49928
Dobbin	283	passthrough	49913	passthrough	54815	passthrough	49913
Dobbin	284	passthrough	49873	passthrough	58833	passthrough	49873
Dobbin	285	passthrough	50009	passthrough	58668	passthrough	50009
Dobbin	286	passthrough	50057	passthrough	58490	passthrough	50057
Dobbin	287	passthrough	49790	passthrough	58461	passthrough	49790
Dobbin	288	passthrough	50041	passthrough	58812	passthrough	50041
Dobbin	289	passthrough	49817	passthrough	58424	passthrough	49817
Dobbin	290	passthrough	49701	passthrough	68708	passthrough	49701
Dobbin	291	passthrough	49809	passthrough	58304	passthrough	49809
Dobbin	292	passthrough	49817	passthrough	58532	passthrough	49817
Dobbin	293	passthrough	50095	passthrough	58606	passthrough	50095
Dobbin	294	passthrough	50502	passthrough	69322	passthrough	50502
Dobbin	295	passthrough	49868	passthrough	68831	passthrough	49868
Dobbin	296	passthrough	50113	passthrough	69457	passthrough	50113
Dobbin	297	passthrough	50005	passthrough	69223	passthrough	50005
Dobbin	298	passthrough	49994	passthrough	69075	passthrough	49994
Dobbin	299	passthrough	48664	passthrough	41967	passthrough	48664
Dobbin	300	passthrough	37033	passthrough	58103	passthrough	37033
Dobbin	301	passthrough	49422	passthrough	57973	passthrough	49422
Dobbin	302	passthrough	49399	passthrough	58026	passthrough	49399
Dobbin	303	passthrough	49280	passthrough	57992	passthrough	49280
Dobbin	304	passthrough	49685	passthrough	58688	passthrough	49685
Dobbin	305	passthrough	49403	passthrough	58113	passthrough	49403
Dobbin	306	passthrough	49786	passthrough	58046	passthrough	49786
Dobbin	307	passthrough	49391	passthrough	58123	passthrough	49391
Dobbin	308	passthrough	49525	passthrough	58083	passthrough	49525
Dobbin	309	passthrough	49430	passthrough	58154	passthrough	49430
Dobbin	310	passthrough	49584	passthrough	58265	passthrough	49584
Dobbin	311	passthrough	49895	passthrough	58926	passthrough	49895
Dobbin	312	passthrough	49322	passthrough	57787	passthrough	49322
Dobbin	313	passthrough	49456	passthrough	58346	passthrough	49456
Dobbin	314	passthrough	49473	passthrough	58280	passthrough	49473
Dobbin	315	passthrough	49728	passthrough	58720	passthrough	49728
Dobbin	316	passthrough	49611	passthrough	58300	passthrough	49611
Dobbin	317	passthrough	49740	passthrough	58909	passthrough	49740
Dobbin	318	passthrough	49423	passthrough	58034	passthrough	49423
Dobbin	319	passthrough	49623	passthrough	58391	passthrough	49623
Dobbin	320	passthrough	49536	passthrough	58155	passthrough	49536
