verdict	pages	sampled	imagePages	digitalText	charsPerPage	maxImagePx	medianDPI	saturation	illumination	path
scanned	4	4	2	no	128	1328	172	0.000	0.075	testdocs/newspaperArticle/_1973_Other 67 -- No Title_Newsday (1940-1988), Nassau ed.; Long Island, N.Y..pdf
scanned	1	1	1	no	18460	2131	200	0.000	0.050	testdocs/newspaperArticle/___ 2.pdf
scanned	1	1	1	no	27499	6215	400	0.000	0.024	testdocs/newspaperArticle/___ 3.pdf
scanned	1	1	1	no	9535	2383	310	0.000	0.102	testdocs/newspaperArticle/___ 4.pdf
scanned	1	1	1	no	11847	2381	200	0.000	0.051	testdocs/newspaperArticle/___ 5.pdf
scanned	1	1	1	no	23405	6533	400	0.000	0.026	testdocs/newspaperArticle/___.pdf
scanned	35	5	5	no	1438	2432	300	0.000	0.059	testdocs/report/1957_Allied Chemical & Dye Corporation Annual Report -- 1957.pdf
scanned	41	5	5	no	2686	2249	300	0.000	0.049	testdocs/report/1958_CiT Financial Corporation Annual Report -- 1958.pdf
scanned	50	5	5	no	1704	1405	300	0.000	0.035	testdocs/report/1958_E.pdf
scanned	28	5	5	no	2740	1985	300	0.000	0.047	testdocs/report/1958_General Foods Corporation Annual Report -- 1958.pdf
scanned	34	5	5	no	2705	2320	300	0.000	0.053	testdocs/report/1958_The Anaconda Company Annual Report -- 1958.pdf
scanned	43	5	5	no	2628	2248	300	0.000	0.062	testdocs/report/1958_The Goodyear Tire & Rubber Company Annual Report -- 1958.pdf
scanned	71	5	5	no	3423	2929	354	0.001	0.024	testdocs/report/AI 2027.pdf
scanned	20	5	5	no	1656	3676	300	0.000	0.027	testdocs/report/Autor et al_2020_Extending the Race between Education and Technology.pdf
scanned	80	5	5	no	1626	2614	300	0.000	0.023	testdocs/report/Hoxby_1997_How the Changing Market Structure of U_National Bureau of Economic Research.pdf
scanned	63	5	5	no	1518	2624	300	0.000	0.024	testdocs/report/Kremer_Maskin_1996_Wage Inequality and Segregation by Skill_National Bureau of Economic Research.pdf
scanned	66	5	5	no	2182	2362	300	0.016	0.020	testdocs/report/Levy and Temin - 2007 - Inequality and Institutions in 20th Century Americ.pdf
scanned	49	5	5	no	1563	1311	150	0.000	0.024	testdocs/report/Temin_1997_The American Business Elite in Historical Perspective.pdf
scanned	24	5	5	no	102	2384	300	0.000	0.024	testdocs/report/_1950_Fairchild Camera and Instrument Corporation Annual Report -- 1950_ProQuest Annual Reports.pdf
scanned	25	5	5	no	102	1576	301	0.000	0.038	testdocs/report/_1953_Fairchild Camera and Instrument Corporation Annual Report -- 1953_ProQuest Annual Reports.pdf
scanned	28	5	5	no	2533	2336	400	0.000	0.047	testdocs/report/_1958_Small Business Investment Act_.pdf
scanned	38	5	5	no	1932	2488	260	0.000	0.037	testdocs/report/_1961_Fairchild Camera and Instrument Corporation Annual Report -- 1961_ProQuest Annual Reports.pdf
scanned	34	5	5	no	2528	2320	300	0.000	0.062	testdocs/report/_1963_Fairchild Camera and Instrument Corporation Annual Report -- 1963_ProQuest Annual Reports.pdf
scanned	30	5	5	no	2167	2566	300	0.000	0.074	testdocs/report/_1966_Fairchild Camera and Instrument Corporation Annual Report -- 1966_ProQuest Annual Reports.pdf
scanned	22	5	5	no	1654	2432	300	0.000	0.028	testdocs/report/_1967_Fairchild Camera and Instrument Corporation Annual Report -- 1967_ProQuest Annual Reports.pdf
scanned	19	5	5	no	102	2352	301	0.000	0.064	testdocs/report/_1971_Fairchild Camera and Instrument Corporation Annual Report -- 1971_ProQuest Annual Reports.pdf
scanned	39	5	5	no	102	2224	301	0.000	0.046	testdocs/report/_1976_Fairchild Camera and Instrument Corporation Annual Report -- 1976_ProQuest Annual Reports.pdf
scanned	30	5	5	no	1875	1704	200	0.000	0.037	testdocs/report/w7787 2.pdf
scanned	30	5	5	no	1875	1704	200	0.000	0.037	testdocs/report/w7787.pdf
scanned	160	5	5	no	1407	2622	301	0.000	0.030	testdocs/thesis/Anderson_1997_Legacy of the American Frontier_California State University, Fresno.pdf
scanned	132	5	5	no	1695	3307	300	0.000	0.023	testdocs/thesis/BOYD_The Relative Prognostic Value of Selected Criteria in Predicting Beginning.pdf
scanned	403	5	5	no	2005	2566	300	0.000	0.028	testdocs/thesis/Banks - 2006 - “The last bastion of discrimination” The New York City building trades and the struggle over affirm.pdf
scanned	334	5	5	no	102	2368	301	0.000	0.020	testdocs/thesis/CAMFIELD_Psychologists at War.pdf
scanned	398	5	5	no	1315	2620	300	0.000	0.024	testdocs/thesis/CARTWRIGHT_Legislation Against Discrimination in Employment in New York State.pdf
scanned	110	5	5	no	1303	3406	400	0.000	0.015	testdocs/thesis/Clark_The graphic rating scale at Northwestern University.pdf
scanned	375	5	5	no	2239	2563	300	0.000	0.028	testdocs/thesis/Cooley - 2008 - Moving up, moving out Race and social mobility in Chicago, 1914–1972.pdf
scanned	234	5	5	no	1990	3400	400	0.000	0.015	testdocs/thesis/Corson_Current practices in student guidance and personnel administration in liberal.pdf
scanned	316	5	5	no	954	2571	300	0.000	0.021	testdocs/thesis/DAUTEN_1954_The Economic Impact and Significance of Substantial Stock Sales by Individual_The University of Iowa.pdf
scanned	280	5	5	no	1108	2610	301	0.000	0.021	testdocs/thesis/DOBBS_1955_A Technique for the Development and Validation of Job Evaluation Cases_University of North Texas.pdf
scanned	27	5	5	no	1440	2664	300	0.000	0.050	testdocs/thesis/Doermann_1967_The market for college education in the United States.pdf
